262146,1,2,0,3030,Fine,gm,3
262147,1,3,0,0,Fine,full,0
262148,1,4,0,0,Fine,full,0
262149,1,5,0,1,Coarse1,full,0
262150,1,6,0,2,Coarse2,full,0
262151,1,7,0,2,Coarse2,full,0
262152,1,8,0,2,Coarse2,full,0
262153,1,9,0,5072,Coarse2,c,5
262178,1,-2,0,30,Fine,gm,0
262179,1,-3,0,0,Fine,full,0
262180,1,-4,0,0,Fine,full,0
262181,1,-5,0,1,Coarse1,full,0
262182,1,-6,0,2,Coarse2,full,0
262183,1,-7,0,2,Coarse2,full,0
262184,1,-8,0,2,Coarse2,full,0
262185,1,-9,0,2072,Coarse2,c,2
262210,1,2,1,3060,Fine,dm,3
262211,1,3,1,0,Fine,full,0
262212,1,4,1,0,Fine,full,0
262213,1,5,1,0,Fine,full,0
262214,1,6,1,2,Coarse2,full,0
262215,1,7,1,2,Coarse2,full,0
262216,1,8,1,2,Coarse2,full,0
262217,1,9,1,2,Coarse2,full,0
262241,1,-1,1,5060,Fine,dm,5
262242,1,-2,1,0,Fine,full,0
262243,1,-3,1,0,Fine,full,0
262244,1,-4,1,0,Fine,full,0
262245,1,-5,1,2,Coarse2,full,0
262246,1,-6,1,2,Coarse2,full,0
262247,1,-7,1,2,Coarse2,full,0
262248,1,-8,1,4012,Coarse2,b,4
262272,1,0,2,5030,Fine,gm,5
262273,1,1,2,4060,Fine,dm,4
262274,1,2,2,4030,Fine,gm,4
262275,1,3,2,0,Fine,full,0
262276,1,4,2,0,Fine,full,0
262277,1,5,2,0,Fine,full,0
262278,1,6,2,1,Coarse1,full,0
262279,1,7,2,2,Coarse2,full,0
262280,1,8,2,2,Coarse2,full,0
262281,1,9,2,2,Coarse2,full,0
262282,1,10,2,72,Coarse2,c,0
262305,1,-1,2,0,Fine,full,0
262306,1,-2,2,0,Fine,full,0
262307,1,-3,2,0,Fine,full,0
262308,1,-4,2,1,Coarse1,full,0
262309,1,-5,2,2,Coarse2,full,0
262310,1,-6,2,2,Coarse2,full,0
262311,1,-7,2,2,Coarse2,full,0
262312,1,-8,2,2072,Coarse2,c,2
262336,1,0,3,0,Fine,full,0
262337,1,1,3,0,Fine,full,0
262338,1,2,3,0,Fine,full,0
262339,1,3,3,0,Fine,full,0
262340,1,4,3,0,Fine,full,0
262341,1,5,3,0,Fine,full,0
262342,1,6,3,1,Coarse1,full,0
262343,1,7,3,2,Coarse2,full,0
262344,1,8,3,2,Coarse2,full,0
262345,1,9,3,2,Coarse2,full,0
262346,1,10,3,42,Coarse2,a,0
262369,1,-1,3,0,Fine,full,0
262370,1,-2,3,0,Fine,full,0
262371,1,-3,3,1,Coarse1,full,0
262372,1,-4,3,2,Coarse2,full,0
262373,1,-5,3,2,Coarse2,full,0
262374,1,-6,3,2,Coarse2,full,0
262375,1,-7,3,3042,Coarse2,a,3
262400,1,0,4,0,Fine,full,0
262401,1,1,4,0,Fine,full,0
262402,1,2,4,0,Fine,full,0
262403,1,3,4,0,Fine,full,0
262404,1,4,4,0,Fine,full,0
262405,1,5,4,0,Fine,full,0
262406,1,6,4,1,Coarse1,full,0
262407,1,7,4,2,Coarse2,full,0
262408,1,8,4,2,Coarse2,full,0
262409,1,9,4,2,Coarse2,full,0
262410,1,10,4,1012,Coarse2,b,1
262433,1,-1,4,0,Fine,full,0
262434,1,-2,4,1,Coarse1,full,0
