262146,1,2,0,15220,Fine,HD2,5,1
262147,1,3,0,12000,Fine,full,2,1
262148,1,4,0,12000,Fine,full,2,1
262149,1,5,0,12001,Coarse1,full,2,1
262150,1,6,0,12002,Coarse2,full,2,1
262151,1,7,0,12002,Coarse2,full,2,1
262152,1,8,0,12002,Coarse2,full,2,1
262153,1,9,0,10162,Coarse2,LD6,0,1
262178,1,-2,0,42220,Fine,HD2,2,4
262179,1,-3,0,45000,Fine,full,5,4
262180,1,-4,0,45000,Fine,full,5,4
262181,1,-5,0,45001,Coarse1,full,5,4
262182,1,-6,0,45002,Coarse2,full,5,4
262183,1,-7,0,45002,Coarse2,full,5,4
262184,1,-8,0,45002,Coarse2,full,5,4
262185,1,-9,0,43162,Coarse2,LD6,3,4
262210,1,2,1,11230,Fine,HD3,1,1
262211,1,3,1,13000,Fine,full,3,1
262212,1,4,1,12000,Fine,full,2,1
262213,1,5,1,12000,Fine,full,2,1
262214,1,6,1,12002,Coarse2,full,2,1
262215,1,7,1,12002,Coarse2,full,2,1
262216,1,8,1,12002,Coarse2,full,2,1
262217,1,9,1,12002,Coarse2,full,2,1
262241,1,-1,1,33230,Fine,HD3,3,3
262242,1,-2,1,35000,Fine,full,5,3
262243,1,-3,1,35000,Fine,full,5,3
262244,1,-4,1,35000,Fine,full,5,3
262245,1,-5,1,32002,Coarse2,full,2,3
262246,1,-6,1,32002,Coarse2,full,2,3
262247,1,-7,1,32002,Coarse2,full,2,3
262248,1,-8,1,31152,Coarse2,LD5,1,3
262272,1,0,2,31220,Fine,HD2,1,3
262273,1,1,2,22230,Fine,HD3,2,2
262274,1,2,2,20220,Fine,HD2,0,2
262275,1,3,2,13000,Fine,full,3,1
262276,1,4,2,13000,Fine,full,3,1
262277,1,5,2,12000,Fine,full,2,1
262278,1,6,2,12001,Coarse1,full,2,1
262279,1,7,2,12002,Coarse2,full,2,1
262280,1,8,2,12002,Coarse2,full,2,1
262281,1,9,2,12002,Coarse2,full,2,1
262282,1,10,2,11162,Coarse2,LD6,1,1
262305,1,-1,2,35000,Fine,full,5,3
262306,1,-2,2,35000,Fine,full,5,3
262307,1,-3,2,35000,Fine,full,5,3
262308,1,-4,2,32001,Coarse1,full,2,3
262309,1,-5,2,32002,Coarse2,full,2,3
262310,1,-6,2,32002,Coarse2,full,2,3
262311,1,-7,2,32002,Coarse2,full,2,3
262312,1,-8,2,33162,Coarse2,LD6,3,3
262336,1,0,3,34000,Fine,full,4,3
262337,1,1,3,24000,Fine,full,4,2
262338,1,2,3,24000,Fine,full,4,2
262339,1,3,3,23000,Fine,full,3,2
262340,1,4,3,13000,Fine,full,3,1
262341,1,5,3,13000,Fine,full,3,1
262342,1,6,3,10001,Coarse1,full,0,1
262343,1,7,3,12002,Coarse2,full,2,1
262344,1,8,3,12002,Coarse2,full,2,1
262345,1,9,3,12002,Coarse2,full,2,1
262346,1,10,3,15112,Coarse2,LD1,5,1
262369,1,-1,3,34000,Fine,full,4,3
262370,1,-2,3,34000,Fine,full,4,3
262371,1,-3,3,32001,Coarse1,full,2,3
262372,1,-4,3,32002,Coarse2,full,2,3
262373,1,-5,3,32002,Coarse2,full,2,3
262374,1,-6,3,32002,Coarse2,full,2,3
262375,1,-7,3,32112,Coarse2,LD1,2,3
262400,1,0,4,34000,Fine,full,4,3
262401,1,1,4,24000,Fine,full,4,2
262402,1,2,4,24000,Fine,full,4,2
262403,1,3,4,23000,Fine,full,3,2
262404,1,4,4,23000,Fine,full,3,2
262405,1,5,4,13000,Fine,full,3,1
262406,1,6,4,10001,Coarse1,full,0,1
262407,1,7,4,10002,Coarse2,full,0,1
262408,1,8,4,12002,Coarse2,full,2,1
262409,1,9,4,12002,Coarse2,full,2,1
262410,1,10,4,14152,Coarse2,LD5,4,1
262433,1,-1,4,34000,Fine,full,4,3
262434,1,-2,4,34001,Coarse1,full,4,3
262435,1,-3,4,34002,Coarse2,full,4,3
262436,1,-4,4,34002,Coarse2,full,4,3
262437,1,-5,4,32002,Coarse2,full,2,3
262438,1,-6,4,30152,Coarse2,LD5,0,3
262464,1,0,5,34001,Coarse1,full,4,3
262465,1,1,5,24000,Fine,full,4,2
262466,1,2,5,24000,Fine,full,4,2
262467,1,3,5,23000,Fine,full,3,2
262468,1,4,5,23000,Fine,full,3,2
262469,1,5,5,23001,Coarse1,full,3,2
262470,1,6,5,10002,Coarse2,full,0,1
262471,1,7,5,10002,Coarse2,full,0,1
262472,1,8,5,10002,Coarse2,full,0,1
262473,1,9,5,10002,Coarse2,full,0,1
262474,1,10,5,14132,Coarse2,LD3,4,1
262497,1,-1,5,34002,Coarse2,full,4,3
262498,1,-2,5,34002,Coarse2,full,4,3
262499,1,-3,5,34002,Coarse2,full,4,3
262500,1,-4,5,34002,Coarse2,full,4,3
262501,1,-5,5,30132,Coarse2,LD3,0,3
262528,1,0,6,34002,Coarse2,full,4,3
262529,1,1,6,21002,Coarse2,full,1,2
262530,1,2,6,21001,Coarse1,full,1,2
262531,1,3,6,21001,Coarse1,full,1,2
262532,1,4,6,23001,Coarse1,full,3,2
262533,1,5,6,23002,Coarse2,full,3,2
262534,1,6,6,23002,Coarse2,full,3,2
262535,1,7,6,10002,Coarse2,full,0,1
262536,1,8,6,10002,Coarse2,full,0,1
262537,1,9,6,10002,Coarse2,full,0,1
262538,1,10,6,14152,Coarse2,LD5,4,1
262561,1,-1,6,34002,Coarse2,full,4,3
262562,1,-2,6,34002,Coarse2,full,4,3
262563,1,-3,6,34002,Coarse2,full,4,3
262564,1,-4,6,30152,Coarse2,LD5,0,3
262592,1,0,7,34002,Coarse2,full,4,3
262593,1,1,7,21002,Coarse2,full,1,2
262594,1,2,7,21002,Coarse2,full,1,2
262595,1,3,7,21002,Coarse2,full,1,2
262596,1,4,7,23002,Coarse2,full,3,2
262597,1,5,7,23002,Coarse2,full,3,2
262598,1,6,7,23002,Coarse2,full,3,2
262599,1,7,7,23002,Coarse2,full,3,2
262600,1,8,7,10002,Coarse2,full,0,1
262601,1,9,7,10002,Coarse2,full,0,1
262602,1,10,7,10112,Coarse2,LD1,0,1
262625,1,-1,7,34002,Coarse2,full,4,3
262626,1,-2,7,34002,Coarse2,full,4,3
262627,1,-3,7,31112,Coarse2,LD1,1,3
262656,1,0,8,34002,Coarse2,full,4,3
262657,1,1,8,21002,Coarse2,full,1,2
262658,1,2,8,21002,Coarse2,full,1,2
262659,1,3,8,21002,Coarse2,full,1,2
262660,1,4,8,23002,Coarse2,full,3,2
262661,1,5,8,23002,Coarse2,full,3,2
262662,1,6,8,23002,Coarse2,full,3,2
262663,1,7,8,23002,Coarse2,full,3,2
262664,1,8,8,23002,Coarse2,full,3,2
262665,1,9,8,15152,Coarse2,LD5,5,1
262666,1,10,8,11162,Coarse2,LD6,1,1
262689,1,-1,8,34002,Coarse2,full,4,3
262690,1,-2,8,33162,Coarse2,LD6,3,3
262720,1,0,9,32162,Coarse2,LD6,2,3
262721,1,1,9,20152,Coarse2,LD5,0,2
262722,1,2,9,21002,Coarse2,full,1,2
262723,1,3,9,21002,Coarse2,full,1,2
262724,1,4,9,21002,Coarse2,full,1,2
262725,1,5,9,23002,Coarse2,full,3,2
262726,1,6,9,23002,Coarse2,full,3,2
262727,1,7,9,23002,Coarse2,full,3,2
262728,1,8,9,23002,Coarse2,full,3,2
262729,1,9,9,21162,Coarse2,LD6,1,2
262786,1,2,10,22162,Coarse2,LD6,2,2
262787,1,3,10,21112,Coarse2,LD1,1,2
262788,1,4,10,25152,Coarse2,LD5,5,2
262789,1,5,10,25132,Coarse2,LD3,5,2
262790,1,6,10,25152,Coarse2,LD5,5,2
262791,1,7,10,20112,Coarse2,LD1,0,2
262792,1,8,10,22162,Coarse2,LD6,2,2
264257,1,1,-1,60230,Fine,HD3,0,6
264258,1,2,-1,62000,Fine,full,2,6
264259,1,3,-1,62000,Fine,full,2,6
264260,1,4,-1,62000,Fine,full,2,6
264261,1,5,-1,65002,Coarse2,full,5,6
264262,1,6,-1,65002,Coarse2,full,5,6
264263,1,7,-1,65002,Coarse2,full,5,6
264264,1,8,-1,64152,Coarse2,LD5,4,6
264290,1,-2,-1,44230,Fine,HD3,4,4
264291,1,-3,-1,40000,Fine,full,0,4
264292,1,-4,-1,45000,Fine,full,5,4
264293,1,-5,-1,45000,Fine,full,5,4
264294,1,-6,-1,45002,Coarse2,full,5,4
264295,1,-7,-1,45002,Coarse2,full,5,4
264296,1,-8,-1,45002,Coarse2,full,5,4
264297,1,-9,-1,45002,Coarse2,full,5,4
264320,1,0,-2,64220,Fine,HD2,4,6
264321,1,1,-2,62000,Fine,full,2,6
264322,1,2,-2,62000,Fine,full,2,6
264323,1,3,-2,62000,Fine,full,2,6
264324,1,4,-2,65001,Coarse1,full,5,6
264325,1,5,-2,65002,Coarse2,full,5,6
264326,1,6,-2,65002,Coarse2,full,5,6
264327,1,7,-2,65002,Coarse2,full,5,6
264328,1,8,-2,60162,Coarse2,LD6,0,6
264353,1,-1,-2,55230,Fine,HD3,5,5
264354,1,-2,-2,53220,Fine,HD2,3,5
264355,1,-3,-2,40000,Fine,full,0,4
264356,1,-4,-2,40000,Fine,full,0,4
264357,1,-5,-2,45000,Fine,full,5,4
264358,1,-6,-2,45001,Coarse1,full,5,4
264359,1,-7,-2,45002,Coarse2,full,5,4
264360,1,-8,-2,45002,Coarse2,full,5,4
264361,1,-9,-2,45002,Coarse2,full,5,4
264362,1,-10,-2,44162,Coarse2,LD6,4,4
264384,1,0,-3,61000,Fine,full,1,6
264385,1,1,-3,61000,Fine,full,1,6
264386,1,2,-3,61000,Fine,full,1,6
264387,1,3,-3,65001,Coarse1,full,5,6
264388,1,4,-3,65002,Coarse2,full,5,6
264389,1,5,-3,65002,Coarse2,full,5,6
264390,1,6,-3,65002,Coarse2,full,5,6
264391,1,7,-3,65112,Coarse2,LD1,5,6
264417,1,-1,-3,51000,Fine,full,1,5
264418,1,-2,-3,51000,Fine,full,1,5
264419,1,-3,-3,50000,Fine,full,0,5
264420,1,-4,-3,40000,Fine,full,0,4
264421,1,-5,-3,40000,Fine,full,0,4
264422,1,-6,-3,43001,Coarse1,full,3,4
264423,1,-7,-3,45002,Coarse2,full,5,4
264424,1,-8,-3,45002,Coarse2,full,5,4
264425,1,-9,-3,45002,Coarse2,full,5,4
264426,1,-10,-3,42112,Coarse2,LD1,2,4
264448,1,0,-4,61000,Fine,full,1,6
264449,1,1,-4,61000,Fine,full,1,6
264450,1,2,-4,61001,Coarse1,full,1,6
264451,1,3,-4,61002,Coarse2,full,1,6
264452,1,4,-4,61002,Coarse2,full,1,6
264453,1,5,-4,65002,Coarse2,full,5,6
264454,1,6,-4,63152,Coarse2,LD5,3,6
264481,1,-1,-4,51000,Fine,full,1,5
264482,1,-2,-4,51000,Fine,full,1,5
264483,1,-3,-4,50000,Fine,full,0,5
264484,1,-4,-4,50000,Fine,full,0,5
264485,1,-5,-4,40000,Fine,full,0,4
264486,1,-6,-4,43001,Coarse1,full,3,4
264487,1,-7,-4,43002,Coarse2,full,3,4
264488,1,-8,-4,45002,Coarse2,full,5,4
264489,1,-9,-4,45002,Coarse2,full,5,4
264490,1,-10,-4,41152,Coarse2,LD5,1,4
264512,1,0,-5,61001,Coarse1,full,1,6
264513,1,1,-5,61002,Coarse2,full,1,6
264514,1,2,-5,61002,Coarse2,full,1,6
264515,1,3,-5,61002,Coarse2,full,1,6
264516,1,4,-5,61002,Coarse2,full,1,6
264517,1,5,-5,63132,Coarse2,LD3,3,6
264545,1,-1,-5,51000,Fine,full,1,5
264546,1,-2,-5,51000,Fine,full,1,5
264547,1,-3,-5,50000,Fine,full,0,5
264548,1,-4,-5,50000,Fine,full,0,5
264549,1,-5,-5,50001,Coarse1,full,0,5
264550,1,-6,-5,43002,Coarse2,full,3,4
264551,1,-7,-5,43002,Coarse2,full,3,4
264552,1,-8,-5,43002,Coarse2,full,3,4
264553,1,-9,-5,43002,Coarse2,full,3,4
264554,1,-10,-5,41132,Coarse2,LD3,1,4
264576,1,0,-6,61002,Coarse2,full,1,6
264577,1,1,-6,61002,Coarse2,full,1,6
264578,1,2,-6,61002,Coarse2,full,1,6
264579,1,3,-6,61002,Coarse2,full,1,6
264580,1,4,-6,63152,Coarse2,LD5,3,6
264609,1,-1,-6,54002,Coarse2,full,4,5
264610,1,-2,-6,54001,Coarse1,full,4,5
264611,1,-3,-6,54001,Coarse1,full,4,5
264612,1,-4,-6,50001,Coarse1,full,0,5
264613,1,-5,-6,50002,Coarse2,full,0,5
264614,1,-6,-6,50002,Coarse2,full,0,5
264615,1,-7,-6,43002,Coarse2,full,3,4
264616,1,-8,-6,43002,Coarse2,full,3,4
264617,1,-9,-6,43002,Coarse2,full,3,4
264618,1,-10,-6,41152,Coarse2,LD5,1,4
264640,1,0,-7,61002,Coarse2,full,1,6
264641,1,1,-7,61002,Coarse2,full,1,6
264642,1,2,-7,61002,Coarse2,full,1,6
264643,1,3,-7,64112,Coarse2,LD1,4,6
264673,1,-1,-7,54002,Coarse2,full,4,5
264674,1,-2,-7,54002,Coarse2,full,4,5
264675,1,-3,-7,54002,Coarse2,full,4,5
264676,1,-4,-7,50002,Coarse2,full,0,5
264677,1,-5,-7,50002,Coarse2,full,0,5
264678,1,-6,-7,50002,Coarse2,full,0,5
264679,1,-7,-7,50002,Coarse2,full,0,5
264680,1,-8,-7,43002,Coarse2,full,3,4
264681,1,-9,-7,43002,Coarse2,full,3,4
264682,1,-10,-7,43112,Coarse2,LD1,3,4
264704,1,0,-8,61002,Coarse2,full,1,6
264705,1,1,-8,61002,Coarse2,full,1,6
264706,1,2,-8,60162,Coarse2,LD6,0,6
264737,1,-1,-8,54002,Coarse2,full,4,5
264738,1,-2,-8,54002,Coarse2,full,4,5
264739,1,-3,-8,54002,Coarse2,full,4,5
264740,1,-4,-8,50002,Coarse2,full,0,5
264741,1,-5,-8,50002,Coarse2,full,0,5
264742,1,-6,-8,50002,Coarse2,full,0,5
264743,1,-7,-8,50002,Coarse2,full,0,5
264744,1,-8,-8,50002,Coarse2,full,0,5
264745,1,-9,-8,42152,Coarse2,LD5,2,4
264746,1,-10,-8,44162,Coarse2,LD6,4,4
264768,1,0,-9,65162,Coarse2,LD6,5,6
264801,1,-1,-9,53152,Coarse2,LD5,3,5
264802,1,-2,-9,54002,Coarse2,full,4,5
264803,1,-3,-9,54002,Coarse2,full,4,5
264804,1,-4,-9,54002,Coarse2,full,4,5
264805,1,-5,-9,50002,Coarse2,full,0,5
264806,1,-6,-9,50002,Coarse2,full,0,5
264807,1,-7,-9,50002,Coarse2,full,0,5
264808,1,-8,-9,50002,Coarse2,full,0,5
264809,1,-9,-9,54162,Coarse2,LD6,4,5
264866,1,-2,-10,55162,Coarse2,LD6,5,5
264867,1,-3,-10,54112,Coarse2,LD1,4,5
264868,1,-4,-10,52152,Coarse2,LD5,2,5
264869,1,-5,-10,52132,Coarse2,LD3,2,5
264870,1,-6,-10,52152,Coarse2,LD5,2,5
264871,1,-7,-10,53112,Coarse2,LD1,3,5
264872,1,-8,-10,55162,Coarse2,LD6,5,5
524290,2,2,0,12220,Fine,HD2,2,1
524291,2,3,0,12000,Fine,full,2,1
524292,2,4,0,12000,Fine,full,2,1
524293,2,5,0,12001,Coarse1,full,2,1
524294,2,6,0,12002,Coarse2,full,2,1
524295,2,7,0,12002,Coarse2,full,2,1
524296,2,8,0,12002,Coarse2,full,2,1
524322,2,-2,0,45220,Fine,HD2,5,4
524323,2,-3,0,45000,Fine,full,5,4
524324,2,-4,0,45000,Fine,full,5,4
524325,2,-5,0,45001,Coarse1,full,5,4
524326,2,-6,0,45002,Coarse2,full,5,4
524327,2,-7,0,45002,Coarse2,full,5,4
524328,2,-8,0,45002,Coarse2,full,5,4
524354,2,2,1,13230,Fine,HD3,3,1
524355,2,3,1,11000,Fine,full,1,1
524356,2,4,1,12000,Fine,full,2,1
524357,2,5,1,12000,Fine,full,2,1
524358,2,6,1,12002,Coarse2,full,2,1
524359,2,7,1,12002,Coarse2,full,2,1
524360,2,8,1,12002,Coarse2,full,2,1
524361,2,9,1,12112,Coarse2,LD1,2,1
524385,2,-1,1,31230,Fine,HD3,1,3
524386,2,-2,1,35000,Fine,full,5,3
524387,2,-3,1,35000,Fine,full,5,3
524388,2,-4,1,35000,Fine,full,5,3
524389,2,-5,1,32002,Coarse2,full,2,3
524390,2,-6,1,32002,Coarse2,full,2,3
524391,2,-7,1,32002,Coarse2,full,2,3
524392,2,-8,1,35112,Coarse2,LD1,5,3
524416,2,0,2,30220,Fine,HD2,0,3
524417,2,1,2,22230,Fine,HD3,2,2
524418,2,2,2,21220,Fine,HD2,1,2
524419,2,3,2,11000,Fine,full,1,1
524420,2,4,2,11000,Fine,full,1,1
524421,2,5,2,12000,Fine,full,2,1
524422,2,6,2,12001,Coarse1,full,2,1
524423,2,7,2,12002,Coarse2,full,2,1
524424,2,8,2,12002,Coarse2,full,2,1
524425,2,9,2,12002,Coarse2,full,2,1
524449,2,-1,2,35000,Fine,full,5,3
524450,2,-2,2,35000,Fine,full,5,3
524451,2,-3,2,35000,Fine,full,5,3
524452,2,-4,2,32001,Coarse1,full,2,3
524453,2,-5,2,32002,Coarse2,full,2,3
524454,2,-6,2,32002,Coarse2,full,2,3
524455,2,-7,2,32002,Coarse2,full,2,3
524480,2,0,3,30000,Fine,full,0,3
